customer_id,age,annual_income,employment_length_years,total_debt_outstanding,debt_to_income_ratio,credit_utilization_ratio,num_open_accounts,missed_payments_history,loan_amount_requested,loan_purpose,creditworthiness_target
CUST_100035,67,70513.22,5.7,14049.5,0.1992,0.1176,6,0,79814.22,Car,1
CUST_100036,64,15377.95,23.0,8597.43,0.5591,0.4345,12,0,17059.79,Home,1
CUST_100037,23,26046.39,1.1,11722.8,0.4501,0.2653,7,1,14871.57,Car,1
CUST_100038,57,63769.91,11.4,8458.47,0.1326,0.2947,5,0,35312.25,Car,1
CUST_100039,27,44773.26,4.9,9318.13,0.2081,0.1471,5,0,26393.48,Car,1
CUST_100040,41,15239.74,13.1,6609.56,0.4337,0.7253,7,0,13776.5,Personal,1
CUST_100041,29,88447.54,6.3,67226.43,0.7601,0.9132,6,0,62361.36,Personal,0
CUST_100042,59,81688.5,17.4,41098.51,0.5031,0.9779,4,2,34040.97,Home,0
CUST_100043,38,50775.04,3.4,30222.73,0.5952,0.1793,5,1,48013.01,Car,1
CUST_100044,24,18094.88,2.3,5812.49,0.3212,0.9291,4,0,19799.63,Business,0
CUST_100045,45,80458.69,6.1,40802.94,0.5071,0.4006,12,2,71570.7,Car,0
CUST_100046,34,54437.18,5.7,22205.14,0.4079,0.4128,9,0,17099.67,Home,1
CUST_100047,29,83538.45,1.3,48227.08,0.5773,0.7575,6,0,81111.74,Education,0
CUST_100048,46,77698.81,17.6,7028.67,0.0905,0.1385,4,0,92294.24,Home,1
CUST_100049,22,88105.29,0.4,39175.15,0.4446,0.4146,9,0,75212.9,Education,1
CUST_100050,40,47842.26,14.6,13720.88,0.2868,0.7262,7,2,17619.1,Personal,0
CUST_100051,48,21804.01,19.7,6779.91,0.3109,0.8471,7,0,2313.46,Home,1
CUST_100052,67,65047.93,20.0,53256.95,0.8187,0.2298,4,0,34081.65,Car,1
CUST_100053,27,58597.42,4.3,11494.23,0.1962,0.9869,8,0,36170.73,Car,1
CUST_100054,64,76009.99,23.5,22726.7,0.299,0.3932,8,1,83658.11,Business,1
CUST_100055,28,23378.38,5.3,10705.29,0.4579,0.9457,7,3,18273.66,Personal,0
CUST_100056,67,24759.7,18.9,18332.62,0.7404,0.3238,7,2,10146.07,Home,1
CUST_100057,55,114495.21,22.8,43890.14,0.3833,0.0455,9,0,98569.32,Home,1
CUST_100058,34,77379.25,5.9,49916.75,0.6451,0.8688,7,1,15584.81,Home,0
CUST_100059,37,122480.4,12.9,90035.25,0.7351,0.7429,10,0,41003.27,Home,1
CUST_100060,56,78980.0,15.9,23537.07,0.298,0.9142,6,0,72577.86,Car,1
CUST_100061,60,55914.19,17.0,20363.96,0.3642,0.1298,8,0,23872.72,Car,1
CUST_100062,24,62776.51,2.6,21045.51,0.3352,0.2672,5,1,8428.1,Home,1
CUST_100063,22,113972.02,1.4,81636.41,0.7163,0.9439,7,0,73676.62,Education,0
CUST_100064,26,53909.86,2.9,4608.08,0.0855,0.1298,5,0,44413.91,Home,1
CUST_100065,62,60033.13,9.5,17814.04,0.2967,0.1213,8,1,58107.41,Business,1
CUST_100066,24,22657.55,1.7,13447.86,0.5935,0.1485,14,0,9893.08,Personal,1
CUST_100067,49,43903.69,22.6,22055.23,0.5024,0.4546,4,0,24894.82,Home,1
CUST_100068,38,71708.11,11.3,28613.79,0.399,0.2335,5,0,51071.77,Home,1
CUST_100069,46,29220.13,17.4,14082.89,0.482,0.2866,6,1,5322.11,Business,1
CUST_100070,64,25168.44,5.4,5236.74,0.2081,0.2285,6,1,7988.67,Home,1
CUST_100071,54,31948.13,14.5,12605.88,0.3946,0.9805,5,1,16171.49,Home,0
CUST_100072,30,27438.6,5.5,12384.75,0.4514,0.8836,2,1,10807.92,Home,0
CUST_100073,56,25888.21,24.5,19958.55,0.771,0.5313,5,0,15854.24,Personal,1
CUST_100074,34,39890.66,1.9,10318.44,0.2587,0.1781,3,0,32543.06,Car,1
CUST_100075,51,122289.58,21.6,91015.59,0.7443,0.0604,7,0,84826.72,Home,1
CUST_100076,68,46831.52,23.2,26478.22,0.5654,0.1651,3,0,44566.23,Car,1
CUST_100077,35,24367.06,3.6,1614.87,0.0663,0.3042,5,2,19225.27,Home,1
CUST_100078,28,18604.29,2.6,11715.22,0.6297,0.8543,5,0,7834.33,Home,0
CUST_100079,34,68605.86,4.2,5381.55,0.0784,0.8858,4,3,15914.23,Home,0
CUST_100080,43,36715.21,10.8,31131.01,0.8479,0.983,4,0,29506.55,Home,0
CUST_100081,60,92626.01,5.4,69294.38,0.7481,0.0654,5,0,30858.15,Personal,1
CUST_100082,41,63481.73,4.4,18274.8,0.2879,0.0733,7,0,28600.54,Personal,1
CUST_100083,36,86586.88,10.7,22160.09,0.2559,0.8884,9,0,84398.18,Personal,1
CUST_100084,65,29282.11,8.7,10399.63,0.3552,0.2256,5,1,10011.71,Education,1
CUST_100085,38,68046.97,4.7,22791.21,0.3349,0.7773,5,1,47062.57,Home,1
CUST_100086,67,28797.42,19.6,10017.77,0.3479,0.3973,10,0,5883.51,Car,1
CUST_100087,44,140910.21,11.1,42924.24,0.3046,0.3451,9,3,78655.15,Car,0
CUST_100088,46,60523.36,16.5,33100.63,0.5469,0.8908,6,2,71314.97,Car,0
CUST_100089,45,32654.38,10.3,5923.86,0.1814,0.9639,4,2,37546.7,Personal,0
CUST_100090,65,29131.9,29.4,21172.63,0.7268,0.4474,9,0,33246.89,Personal,1
CUST_100091,61,24533.95,21.8,17171.85,0.6999,0.1402,6,0,18515.22,Home,1
CUST_100092,49,68382.02,5.2,29485.41,0.4312,0.1823,6,0,29005.1,Car,1
CUST_100093,35,26106.72,3.1,19114.92,0.7322,0.6068,7,0,12803.96,Home,0
CUST_100094,65,55707.78,18.3,13799.71,0.2477,0.1757,6,0,18196.88,Education,1
CUST_100095,21,28832.48,0.4,1846.79,0.0641,0.8701,7,2,5978.64,Education,0
CUST_100096,45,63807.79,15.5,34798.62,0.5454,0.0673,9,0,18232.24,Personal,1
CUST_100097,27,90918.32,3.5,37851.8,0.4163,0.8508,4,0,55822.71,Car,1
CUST_100098,29,82733.62,3.3,41675.54,0.5037,0.5445,7,2,10733.31,Personal,0
CUST_100099,44,79380.14,5.3,61080.76,0.7695,0.92,6,0,89946.89,Car,0
CUST_100100,21,24356.09,0.3,20116.68,0.8259,0.4284,5,2,17482.44,Education,0
CUST_100101,64,19164.19,22.1,10685.23,0.5576,0.4046,8,0,5574.33,Home,1
CUST_100102,28,69021.38,3.2,45640.01,0.6612,0.8983,8,1,38512.18,Home,0
CUST_100103,44,35673.69,11.1,4175.49,0.117,0.043,3,0,18333.26,Car,1
CUST_100104,31,40480.96,2.4,7228.78,0.1786,0.2197,9,1,41245.43,Personal,1
CUST_100105,37,16424.0,9.6,10454.92,0.6366,0.717,6,0,3819.31,Personal,0
CUST_100106,28,28523.98,5.6,11269.61,0.3951,0.2382,9,0,16340.18,Education,1
CUST_100107,55,16541.54,9.8,6728.64,0.4068,0.2179,6,0,14596.93,Home,1
CUST_100108,55,110107.56,15.5,32689.41,0.2969,0.0399,6,2,56210.77,Education,1
CUST_100109,53,27551.23,25.8,14764.29,0.5359,0.3036,4,0,13592.45,Home,1
CUST_100110,25,51672.61,1.7,10238.0,0.1981,0.3093,7,1,24517.73,Car,1
CUST_100111,62,16789.17,21.7,9259.78,0.5515,0.7177,2,1,15751.79,Car,0
CUST_100112,59,64461.96,6.4,12185.83,0.189,0.4396,7,1,14905.81,Personal,1
CUST_100113,61,32555.6,21.5,3290.1,0.1011,0.2295,7,3,33935.13,Education,0
CUST_100114,48,117689.57,4.6,36988.2,0.3143,0.0889,5,0,20945.61,Home,1
CUST_100115,27,113564.05,5.4,26677.59,0.2349,0.2313,8,1,51206.54,Personal,1
CUST_100116,29,32706.3,5.4,24895.82,0.7612,0.342,6,1,17267.32,Car,0
CUST_100117,28,119050.82,5.2,11186.34,0.094,0.2534,11,0,63447.84,Personal,1
CUST_100118,32,265275.48,7.1,50744.8,0.1913,0.386,6,3,81291.5,Personal,0
CUST_100119,54,93540.63,17.4,45739.09,0.489,0.3959,4,0,71415.91,Business,1
CUST_100120,53,98857.52,13.7,42988.56,0.4349,0.3557,8,1,59208.67,Car,1
CUST_100121,68,27886.26,33.6,2417.23,0.0867,0.2,15,3,20198.87,Personal,0
CUST_100122,43,53685.59,17.7,2995.76,0.0558,0.3639,7,1,41681.83,Home,1
CUST_100123,44,18133.1,10.8,15240.04,0.8405,0.4573,5,0,5629.78,Business,1
CUST_100124,57,19487.83,27.8,11245.8,0.5771,0.2709,5,0,21676.71,Car,1
CUST_100125,55,321258.8,17.8,109974.89,0.3423,0.0457,7,0,325468.53,Education,1
CUST_100126,64,32796.33,21.0,13982.58,0.4263,0.0797,10,0,33165.12,Business,1
CUST_100127,60,77057.53,16.7,20284.63,0.2632,0.4055,6,0,52770.47,Home,1
CUST_100128,42,88949.9,5.4,28988.69,0.3259,0.2101,4,1,89133.07,Education,0
CUST_100129,47,102844.15,2.8,58542.55,0.5692,0.6732,7,2,81270.89,Business,0
CUST_100130,55,286986.62,9.4,217033.47,0.7562,0.084,10,0,170932.22,Business,1
CUST_100131,21,27438.35,0.5,5413.7,0.1973,0.9176,9,0,25454.74,Home,0
CUST_100132,55,16853.44,12.8,12173.06,0.7223,0.0407,7,0,12807.56,Home,1
CUST_100133,57,38834.44,15.3,5718.19,0.1472,0.1225,6,0,3969.46,Car,1
CUST_100134,67,21270.97,37.0,4722.02,0.222,0.391,6,0,25455.04,Personal,1
CUST_100135,34,16020.65,4.8,1277.49,0.0797,0.486,9,0,9177.21,Personal,1
CUST_100136,23,35112.94,1.2,5711.1,0.1626,0.1435,5,0,25593.85,Education,1
CUST_100137,21,83906.96,0.2,65769.84,0.7838,0.4205,3,0,45857.63,Education,1
CUST_100138,25,52580.72,0.7,21955.13,0.4176,0.4473,7,0,11059.44,Home,1
CUST_100139,46,31879.4,16.7,3574.72,0.1121,0.1233,5,0,32434.45,Car,1
CUST_100140,34,62803.75,7.0,51359.74,0.8178,0.8223,8,1,53434.11,Education,0
CUST_100141,59,26879.51,24.7,20245.48,0.7532,0.9823,5,1,27185.06,Education,0
CUST_100142,47,15651.86,5.5,10232.34,0.6537,0.2147,7,0,9897.31,Home,1
CUST_100143,29,80043.99,4.5,63777.31,0.7968,0.9912,5,0,77712.94,Education,0
CUST_100144,35,58986.74,4.2,13337.11,0.2261,0.3047,5,0,57659.02,Business,1
CUST_100145,35,79654.06,3.9,57278.87,0.7191,0.8346,7,0,37431.51,Personal,1
CUST_100146,46,16787.24,2.8,10105.8,0.602,0.1315,9,2,1753.94,Education,0
CUST_100147,62,96663.27,8.0,72092.18,0.7458,0.4298,11,1,101087.18,Home,1
CUST_100148,33,58485.21,4.1,40210.29,0.6875,0.4694,6,0,17726.67,Personal,1
CUST_100149,52,52292.72,5.8,17109.97,0.3272,0.9906,13,2,55199.39,Education,0
CUST_100150,59,59091.03,30.8,39562.56,0.6695,0.2387,6,0,46098.61,Car,1
CUST_100151,69,104923.1,15.5,27276.34,0.26,0.7932,9,1,83751.38,Personal,0
CUST_100152,52,54786.93,6.1,17141.39,0.3129,0.3617,7,0,20377.46,Education,1
CUST_100153,24,54139.47,1.0,7380.54,0.1363,0.3092,10,0,29390.63,Car,1
CUST_100154,50,225397.6,15.3,179881.1,0.7981,0.4329,6,0,99919.01,Home,1
CUST_100155,57,78611.28,5.4,22231.48,0.2828,0.2987,9,0,24321.02,Car,1
CUST_100156,43,41276.53,16.2,19255.42,0.4665,0.2974,11,1,37023.27,Home,1
CUST_100157,59,70302.23,30.1,25524.37,0.3631,0.9048,8,1,14442.03,Home,1
CUST_100158,65,37186.6,12.3,30416.5,0.8179,0.089,8,1,24660.8,Home,0
CUST_100159,35,26695.74,6.2,8490.3,0.318,0.3488,3,0,18409.63,Car,1
CUST_100160,63,55880.31,5.0,37598.32,0.6728,0.7225,7,1,64314.05,Education,0
CUST_100161,49,133512.97,15.9,98042.97,0.7343,0.0951,8,0,141033.93,Car,1
CUST_100162,56,134116.91,14.0,53443.6,0.3985,0.7435,8,3,85949.84,Personal,0
CUST_100163,33,33828.29,3.8,11925.74,0.3525,0.9594,2,0,34795.8,Personal,0
CUST_100164,52,48754.19,7.8,31602.3,0.6482,0.1581,7,1,47273.79,Personal,0
CUST_100165,27,25700.79,3.9,20054.76,0.7803,0.2494,9,0,3358.74,Car,1
CUST_100166,42,259496.08,8.6,169696.26,0.6539,0.1727,9,0,289169.66,Education,1
CUST_100167,48,193629.36,6.3,44864.13,0.2317,0.2054,8,1,165881.35,Business,1
CUST_100168,22,62178.9,1.2,47296.14,0.7606,0.9681,4,1,52177.27,Personal,0
CUST_100169,62,88428.99,20.8,31840.21,0.3601,0.1803,3,0,78244.59,Personal,1
CUST_100170,65,71502.79,31.5,36536.75,0.511,0.3377,8,1,24828.49,Home,1
CUST_100171,26,55469.89,1.1,39669.21,0.7151,0.0552,8,0,7327.0,Car,1
CUST_100172,48,17467.07,18.2,3505.92,0.2007,0.8598,6,3,6201.29,Car,0
CUST_100173,48,42294.17,16.0,28658.87,0.6776,0.1802,9,0,41196.03,Car,1
CUST_100174,64,65547.28,7.9,34538.84,0.5269,0.1351,8,0,49622.35,Car,1
CUST_100175,64,65928.76,25.8,50413.96,0.7647,0.8019,7,0,32793.39,Education,1
CUST_100176,40,36015.19,8.2,6755.6,0.1876,0.5497,9,0,13169.72,Education,1
CUST_100177,50,142890.71,22.8,55233.8,0.3865,0.332,6,0,140006.42,Personal,1
CUST_100178,31,23241.77,2.2,16647.49,0.7163,0.8353,8,0,14030.04,Education,0
CUST_100179,48,46223.98,15.4,3022.37,0.0654,0.1246,7,0,35727.38,Personal,1
CUST_100180,45,67831.74,9.2,9480.24,0.1398,0.1358,4,0,7721.15,Education,1
CUST_100181,59,68751.19,30.0,57919.59,0.8425,0.4527,7,0,39389.29,Car,1
CUST_100182,53,62067.34,10.9,17026.02,0.2743,0.3536,6,1,7260.51,Education,1
CUST_100183,21,29489.16,0.8,24488.82,0.8304,0.1754,5,0,28491.58,Personal,1
CUST_100184,47,22643.14,19.7,4438.63,0.196,0.9609,5,0,8472.53,Education,0
CUST_100185,33,60469.69,3.8,20491.7,0.3389,0.2997,5,3,17163.39,Personal,0
CUST_100186,61,56154.64,27.2,36629.42,0.6523,0.2509,5,0,62838.93,Business,1
CUST_100187,23,23894.97,2.4,13768.82,0.5762,0.7633,6,0,2862.82,Car,1
CUST_100188,59,69956.33,10.8,36020.37,0.5149,0.7885,1,3,22218.35,Home,0
CUST_100189,26,42327.83,2.4,20059.98,0.4739,0.5228,6,0,15429.89,Education,1
CUST_100190,28,64585.48,3.7,46808.48,0.7248,0.3267,10,1,64913.85,Home,0
CUST_100191,47,96731.68,8.3,23018.16,0.238,0.9356,6,0,85229.53,Personal,1
CUST_100192,29,23370.11,1.0,9440.98,0.404,0.2054,5,1,27206.3,Personal,1
CUST_100193,57,15869.87,9.4,2767.1,0.1744,0.6374,5,0,13717.01,Personal,0
CUST_100194,53,82952.56,9.8,43695.53,0.5268,0.4365,10,1,29858.84,Business,1
CUST_100195,62,57337.49,17.2,14359.35,0.2504,0.3046,7,1,16256.31,Personal,1
CUST_100196,64,69124.74,9.7,21917.63,0.3171,0.342,2,0,64351.42,Business,1
CUST_100197,44,96950.22,17.1,41397.8,0.427,0.5465,8,1,105772.08,Personal,0
CUST_100198,35,88061.65,8.9,6289.05,0.0714,0.5998,5,0,97117.92,Car,1
CUST_100199,52,160896.67,5.1,19878.84,0.1236,0.4396,7,0,152563.24,Home,1
CUST_100200,52,49547.89,17.8,29666.47,0.5987,0.2355,6,0,48249.87,Home,1
CUST_100201,44,45167.96,13.4,17758.96,0.3932,0.9806,7,0,37426.44,Personal,1
CUST_100202,61,38128.92,31.5,28285.26,0.7418,0.649,5,1,34674.81,Home,0
CUST_100203,69,22509.19,5.0,13634.66,0.6057,0.4085,4,3,5124.31,Car,0
CUST_100204,69,53252.33,13.4,3007.73,0.0565,0.0921,9,1,24609.42,Education,1
CUST_100205,32,29596.35,9.0,16081.76,0.5434,0.7279,8,1,17873.49,Home,1
CUST_100206,59,129399.34,29.3,16172.32,0.125,0.2517,10,1,107499.2,Business,1
CUST_100207,22,54380.7,1.2,36693.19,0.6747,0.4009,11,2,30423.28,Personal,0
CUST_100208,23,55434.73,1.9,46742.91,0.8432,0.9411,3,0,28410.18,Education,0
CUST_100209,69,34727.47,8.0,16494.13,0.475,0.3228,9,0,25002.27,Business,1
CUST_100210,57,17402.53,17.0,10375.8,0.5962,0.2663,5,0,9290.72,Car,1
CUST_100211,69,16451.63,12.8,3945.95,0.2399,0.3196,11,0,2957.92,Personal,1
CUST_100212,37,39772.23,3.9,15912.0,0.4001,0.1747,6,0,46388.68,Personal,1
CUST_100213,69,18976.03,32.7,13945.03,0.7349,0.2399,5,0,21229.97,Home,1
CUST_100214,22,57010.03,0.4,10486.33,0.1839,0.2477,7,0,8147.28,Personal,1
CUST_100215,22,110778.22,0.9,29071.36,0.2624,0.8935,8,3,75562.42,Personal,0
CUST_100216,48,111518.41,21.2,45315.16,0.4063,0.3962,8,0,98588.0,Car,1
CUST_100217,43,63420.27,5.3,39307.83,0.6198,0.2781,8,1,48887.46,Car,1
CUST_100218,57,25677.73,29.0,9005.36,0.3507,0.5081,12,2,12549.36,Home,0
CUST_100219,52,104448.81,25.5,82742.87,0.7922,0.4062,4,0,102736.14,Education,1
CUST_100220,53,112756.95,16.1,14158.4,0.1256,0.2238,4,1,87524.41,Education,0
CUST_100221,21,24853.62,0.2,8615.34,0.3466,0.7692,4,0,9017.47,Business,1
CUST_100222,39,75175.02,6.1,46395.26,0.6172,0.1475,1,0,58061.88,Personal,1
CUST_100223,22,30192.01,0.8,6968.0,0.2308,0.2171,8,2,12141.37,Car,1
CUST_100224,64,88022.73,13.9,50624.56,0.5751,0.2246,11,0,66495.44,Home,1
CUST_100225,46,280129.38,7.7,50808.06,0.1814,0.4532,9,0,263531.79,Personal,1
CUST_100226,52,16371.87,25.0,1551.8,0.0948,0.1429,4,0,7085.72,Car,1
CUST_100227,26,117446.31,1.2,17242.6,0.1468,0.2769,6,0,48243.88,Business,1
CUST_100228,52,58853.87,19.6,46729.26,0.794,0.2327,10,1,52931.56,Home,1
CUST_100229,24,178178.59,0.4,87557.08,0.4914,0.3218,7,3,117456.58,Home,0
CUST_100230,31,43147.78,5.7,29645.83,0.6871,0.3238,7,0,10902.61,Education,1
CUST_100231,37,99593.52,12.6,31483.86,0.3161,0.2537,8,0,69741.85,Business,1
CUST_100232,58,17899.15,11.5,9381.43,0.5241,0.1861,6,0,14847.88,Home,1
CUST_100233,44,33377.46,5.5,14885.07,0.446,0.9267,5,3,21376.5,Home,0
CUST_100234,25,18121.55,2.8,14616.67,0.8066,0.2609,10,0,14254.0,Business,1
CUST_100235,54,181621.49,20.4,117701.57,0.6481,0.6578,11,0,91054.08,Home,1
CUST_100236,26,91415.69,3.5,57997.23,0.6344,0.3394,2,1,97412.13,Education,0
CUST_100237,42,101141.19,7.1,8807.64,0.0871,0.2015,8,0,36811.44,Home,1
CUST_100238,31,140102.71,3.0,68613.3,0.4897,0.9184,8,0,57369.23,Home,1
CUST_100239,68,19002.49,36.9,8049.32,0.4236,0.7426,10,0,18071.86,Home,1
CUST_100240,36,36919.73,11.9,29250.54,0.7923,0.3672,6,3,6041.7,Personal,0
CUST_100241,53,18315.78,13.9,4686.52,0.2559,0.0468,9,0,21724.68,Personal,1
CUST_100242,29,25652.7,6.2,6820.2,0.2659,0.3292,5,0,20314.8,Home,1
CUST_100243,26,26724.36,2.5,10130.59,0.3791,0.1465,3,0,26408.73,Home,1
CUST_100244,36,43493.78,6.4,10642.74,0.2447,0.2985,8,0,32287.1,Business,1
CUST_100245,49,29073.44,6.1,4458.33,0.1533,0.2979,5,1,28054.79,Education,1
CUST_100246,23,19790.16,1.2,14564.21,0.7359,0.8507,8,0,11431.18,Personal,0
CUST_100247,40,23249.01,9.5,11545.95,0.4966,0.1985,7,0,17074.46,Home,1
CUST_100248,56,22169.35,4.2,16385.15,0.7391,0.4823,8,0,18358.81,Home,1
CUST_100249,39,177664.51,7.8,127013.75,0.7149,0.5043,9,3,194031.21,Car,0
CUST_100250,46,79087.78,16.8,21799.27,0.2756,0.9275,6,1,10933.87,Education,1
CUST_100251,23,169556.68,1.7,82775.87,0.4882,0.7575,6,3,37268.75,Car,0
CUST_100252,39,41070.98,10.3,4787.82,0.1166,0.5821,10,2,35309.16,Personal,0
CUST_100253,40,29680.83,14.7,23216.39,0.7822,0.27,4,1,14211.14,Education,1
CUST_100254,52,87042.3,3.6,32502.48,0.3734,0.1147,4,0,73594.62,Car,1
CUST_100255,27,32770.59,3.4,11959.33,0.3649,0.513,7,1,11486.46,Home,1
CUST_100256,61,31010.75,26.7,9061.47,0.2922,0.1224,6,0,24532.14,Education,1
CUST_100257,53,26908.11,15.8,11261.88,0.4185,0.1319,10,0,16842.5,Home,1
CUST_100258,60,21250.19,13.1,5342.46,0.2514,0.3901,7,2,4998.26,Car,0
CUST_100259,59,28335.16,7.6,9913.96,0.3499,0.1346,9,0,31802.53,Home,1
CUST_100260,38,34755.04,13.0,23979.51,0.69,0.0672,7,0,33761.67,Car,1
CUST_100261,60,65437.81,17.2,46945.37,0.7174,0.2203,5,2,62766.8,Education,0
CUST_100262,21,17907.35,0.7,5253.05,0.2933,0.1109,6,1,15518.82,Education,1
CUST_100263,31,25636.39,5.6,10900.89,0.4252,0.8388,6,0,3165.66,Personal,1
CUST_100264,48,89502.25,16.0,67042.18,0.7491,0.3425,9,0,58631.54,Business,1
CUST_100265,45,22150.69,16.6,2040.94,0.0921,0.5603,8,0,20512.79,Education,1
CUST_100266,43,33878.91,12.9,25792.56,0.7613,0.3486,7,1,11465.43,Home,1
CUST_100267,51,104998.07,11.7,23661.05,0.2253,0.2741,7,1,81561.36,Education,0
CUST_100268,50,22574.86,13.8,13383.09,0.5928,0.6604,8,0,25338.73,Home,1
CUST_100269,62,18886.24,27.8,9746.08,0.516,0.2489,8,0,17530.68,Car,1
CUST_100270,55,44821.13,12.7,22067.8,0.4924,0.0808,5,1,31482.5,Car,1
CUST_100271,27,31206.18,2.6,23014.19,0.7375,0.7362,7,2,13759.33,Car,0
CUST_100272,36,52294.06,2.7,6864.0,0.1313,0.7921,10,0,41845.3,Car,1
CUST_100273,46,88289.05,19.2,28925.47,0.3276,0.2909,12,0,78210.34,Education,1
CUST_100274,68,21638.07,7.9,10399.3,0.4806,0.7654,8,0,17343.93,Car,1
CUST_100275,69,54112.49,27.1,37826.31,0.699,0.1837,10,0,50376.6,Home,1
CUST_100276,22,46690.16,0.8,10419.12,0.2232,0.8515,7,0,19010.92,Car,1
CUST_100277,21,22000.96,0.4,15232.23,0.6923,0.0981,4,0,14489.66,Personal,1
CUST_100278,68,59017.29,27.6,21819.33,0.3697,0.1972,4,0,41520.95,Personal,1
CUST_100279,32,29386.95,1.8,5910.63,0.2011,0.2675,7,0,5844.29,Home,1
CUST_100280,25,45109.82,2.6,29645.68,0.6572,0.4122,3,0,13271.26,Business,0
CUST_100281,57,18863.46,23.7,2314.91,0.1227,0.107,6,1,8248.71,Car,1
CUST_100282,52,42693.73,21.8,19716.56,0.4618,0.7424,6,0,6512.15,Education,1
CUST_100283,29,31467.81,2.0,3181.42,0.1011,0.1238,9,0,11232.87,Home,1
CUST_100284,61,92765.2,29.9,31088.8,0.3351,0.2744,9,0,62558.28,Business,1
CUST_100285,55,17639.99,19.6,9364.39,0.5309,0.182,5,3,12276.01,Education,0
CUST_100286,39,39404.8,13.6,19501.14,0.4949,0.8149,6,2,14751.97,Home,0
CUST_100287,68,42597.85,21.1,15919.85,0.3737,0.3552,7,0,48609.98,Education,1
CUST_100288,36,73095.28,7.7,28743.87,0.3932,0.3924,8,0,44871.97,Home,1
CUST_100289,23,53429.6,2.2,12364.45,0.2314,0.2654,2,0,42797.32,Home,1
CUST_100290,40,64511.28,14.6,26753.22,0.4147,0.8373,6,1,8605.72,Car,1
CUST_100291,44,82536.2,9.9,67069.24,0.8126,0.3221,9,2,44495.29,Education,0
CUST_100292,53,104188.81,9.6,76095.58,0.7304,0.1214,8,0,72548.67,Home,1
